import time: self [us] | cumulative | imported package
import time:       782 |        782 |   _io
import time:       187 |        187 |   marshal
import time:      1137 |       1137 |   posix
import time:      2619 |       4723 | _frozen_importlib_external
import time:       468 |        468 |   time
import time:      1064 |       1531 | zipimport
import time:       307 |        307 |     _codecs
import time:      2461 |       2767 |   codecs
import time:      2050 |       2050 |   encodings.aliases
import time:      3364 |       8180 | encodings
import time:       895 |        895 | encodings.utf_8
import time:       370 |        370 | _signal
import time:       144 |        144 |       _abc
import time:       626 |        769 |     abc
import time:       186 |        186 |       _stat
import time:       350 |        535 |     stat
import time:      3602 |       3602 |     _collections_abc
import time:       274 |        274 |       errno
import time:       442 |        442 |       genericpath
import time:       652 |       1366 |     posixpath
import time:      1945 |       8216 |   os
import time:       422 |        422 |   _sitebuiltins
import time:      1433 |       1433 |   encodings.utf_8_sig
import time:      3504 |       3504 |   _distutils_hack
import time:       392 |        392 |   sitecustomize
import time:      4643 |      18607 | site
import time:       872 |        872 |   desktop_ui
import time:       192 |        192 |       _types
import time:      1101 |       1293 |     types
import time:       782 |        782 |       _weakrefset
import time:       358 |        358 |       itertools
import time:      1568 |       2707 |     weakref
import time:       841 |        841 |     copyreg
import time:      1151 |       5990 |   copy
import time:       797 |        797 |     io
import time:      2132 |       2132 |           keyword
import time:       522 |        522 |             _operator
import time:      2097 |       2618 |           operator
import time:      1277 |       1277 |           reprlib
import time:       375 |        375 |           _collections
import time:      3996 |      10396 |         collections
import time:       330 |        330 |         _functools
import time:      3870 |      14595 |       functools
import time:       325 |        325 |       _locale
import time:      2550 |      17469 |     locale
import time:      6478 |       6478 |       enum
import time:      2082 |       8560 |     signal
import time:       219 |        219 |       _contextvars
import time:      4179 |       4398 |     threading
import time:      2016 |       2016 |       _py_warnings
import time:      1093 |       3108 |     warnings
import time:      2737 |       2737 |     contextlib
import time:       341 |        341 |     fcntl
import time:       378 |        378 |     msvcrt
import time:       166 |        166 |     _posixsubprocess
import time:       227 |        227 |     select
import time:       351 |        351 |       math
import time:      2615 |       2965 |     selectors
import time:      2731 |      43872 |   subprocess
import time:      1274 |       1274 |   desktop_ui.constants
import time:       413 |        413 |           _winapi
import time:       280 |        280 |           nt
import time:       270 |        270 |           nt
import time:       243 |        243 |           nt
import time:       226 |        226 |           nt
import time:       239 |        239 |           nt
import time:       224 |        224 |           nt
import time:       224 |        224 |           nt
import time:      1925 |       4039 |         ntpath
import time:       450 |        450 |               _sre
import time:      3160 |       3160 |                 re._constants
import time:      2314 |       5474 |               re._parser
import time:       969 |        969 |               re._casefix
import time:      2211 |       9102 |             re._compiler
import time:      3052 |      12153 |           re
import time:      2183 |       2183 |           fnmatch
import time:      2489 |      16823 |         glob
import time:       471 |        471 |         pwd
import time:       238 |        238 |         grp
import time:       420 |        420 |           _winapi
import time:      2416 |       2835 |         pathlib._os
import time:      4013 |      28417 |       pathlib
import time:       396 |        396 |           binascii
import time:      1047 |       1047 |             importlib
import time:      1631 |       1631 |             importlib._abc
import time:       980 |       3657 |           importlib.util
import time:       449 |        449 |             zlib
import time:       859 |        859 |                 compression
import time:       648 |       1507 |               compression._common
import time:      1822 |       1822 |               compression._common._streams
import time:       271 |        271 |               _bz2
import time:      1533 |       5131 |             bz2
import time:       277 |        277 |               _lzma
import time:      1092 |       1368 |             lzma
import time:       287 |        287 |               _zstd
import time:      1001 |       1001 |               compression.zstd._zstdfile
import time:      2535 |       3821 |             compression.zstd
import time:      3321 |      14089 |           shutil
import time:       420 |        420 |             _struct
import time:       803 |       1223 |           struct
import time:      1379 |       1379 |             zipfile._path.glob
import time:      2526 |       3904 |           zipfile._path
import time:      4226 |      27493 |         zipfile
import time:      1822 |       1822 |         base64
import time:      4349 |       4349 |         textwrap
import time:      1095 |       1095 |           linecache
import time:       800 |        800 |             __future__
import time:      1075 |       1874 |           codeop
import time:      2236 |       2236 |             token
import time:       305 |        305 |             _tokenize
import time:      4650 |       7190 |           tokenize
import time:      3868 |       3868 |                     _ast
import time:      1302 |       5170 |                   ast
import time:      2187 |       7356 |                 annotationlib
import time:       196 |        196 |                     _opcode
import time:       850 |        850 |                     _opcode_metadata
import time:      1043 |       2088 |                   opcode
import time:      4108 |       6195 |                 dis
import time:       239 |        239 |                 importlib.machinery
import time:      6211 |      20000 |               inspect
import time:      2448 |      22447 |             dataclasses
import time:     18625 |      41071 |           _colorize
import time:      3530 |      54758 |         traceback
import time:       142 |        142 |               _bisect
import time:       663 |        804 |             bisect
import time:       127 |        127 |             _random
import time:      1826 |       2756 |           random
import time:      2608 |       5364 |         tempfile
import time:       182 |        182 |           _typing
import time:      8279 |       8460 |         typing
import time:      1067 |       1067 |           encodings.cp437
import time:       514 |        514 |           shibokensupport
import time:       444 |        444 |           shibokensupport.signature
import time:      4495 |       4495 |             shibokensupport.feature
import time:     17278 |      17278 |             shibokensupport.signature.mapping
import time:      4597 |       4597 |             shibokensupport.signature.errorhandler
import time:       511 |        511 |                   shibokensupport.signature.lib
import time:      3542 |       4053 |                 shibokensupport.signature.lib.tool
import time:     42855 |      46907 |               shibokensupport.signature.parser
import time:      8979 |      55886 |             shibokensupport.signature.layout
import time:      1986 |       1986 |               PySide6.support
import time:       815 |        815 |               PySide6.support.deprecated
import time:      1497 |       4297 |             shibokensupport.signature.importhandler
import time:      9736 |       9736 |             shibokensupport.signature.lib.enum_sig
import time:      1466 |       1466 |                 gettext
import time:      4520 |       5985 |               argparse
import time:       224 |        224 |                   _string
import time:      1413 |       1637 |                 string
import time:       267 |        267 |                 atexit
import time:      6146 |       8048 |               logging
import time:     41219 |      55252 |             shibokensupport.signature.lib.pyi_generator
import time:      3683 |     155219 |           shibokensupport.signature.loader
import time:     14442 |     171683 |         shiboken6.Shiboken
import time:      1526 |     275453 |       shiboken6
import time:      1966 |     305834 |     PySide6
import time:     32628 |      32628 |       PySide6.QtCore
import time:     13069 |      45697 |     PySide6.QtGui
import time:     22299 |     373828 |   PySide6.QtWidgets
import time:       747 |        747 |       app
import time:       671 |       1418 |     app.core
import time:       292 |        292 |         _heapq
import time:      4266 |       4557 |       heapq
import time:       337 |        337 |       _queue
import time:      8433 |      13326 |     queue
import time:      1021 |       1021 |         numpy.version
import time:       737 |        737 |         numpy._expired_attrs_2_0
import time:       829 |        829 |             numpy._utils._convertions
import time:      8535 |       9363 |           numpy._utils
import time:      5552 |      14915 |         numpy._globals
import time:       199 |        199 |           numpy._distributor_init_local
import time:       723 |        921 |         numpy._distributor_init
import time:       258 |        258 |                     _datetime
import time:      6447 |       6704 |                   datetime
import time:       992 |        992 |                   numpy.exceptions
import time:      4232 |       4232 |                   numpy._core._exceptions
import time:      1495 |       1495 |                     contextvars
import time:       902 |       2397 |                   numpy._core.printoptions
import time:       665 |        665 |                   numpy.dtypes
import time:     56533 |      71521 |                 numpy._core._multiarray_umath
import time:       605 |        605 |                   numpy._utils._inspect
import time:      4857 |       5462 |                 numpy._core.overrides
import time:      3454 |      80436 |               numpy._core.multiarray
import time:      3565 |       3565 |               numpy._core.umath
import time:      6034 |       6034 |                 numbers
import time:      4058 |       4058 |                 numpy._core._dtype
import time:       798 |        798 |                 numpy._core._string_helpers
import time:      4451 |       4451 |                 numpy._core._type_aliases
import time:      5148 |      20486 |               numpy._core.numerictypes
import time:      1163 |       1163 |                 numpy._core._ufunc_config
import time:      1204 |       1204 |                       _compat_pickle
import time:       614 |        614 |                       _pickle
import time:      6170 |       7987 |                     pickle
import time:      3489 |      11476 |                   numpy._core._methods
import time:     12793 |      24269 |                 numpy._core.fromnumeric
import time:      8119 |      33550 |               numpy._core._machar
import time:      3509 |       3509 |                   numpy._core.shape_base
import time:       760 |        760 |                   numpy._core._asarray
import time:     19472 |      19472 |                   numpy._core.arrayprint
import time:     19492 |      43232 |                 numpy._core.numeric
import time:      5445 |      48676 |               numpy._core.einsumfunc
import time:      1276 |       1276 |               numpy._core.function_base
import time:      8551 |       8551 |               numpy._core.getlimits
import time:      1038 |       1038 |               numpy._core.memmap
import time:      1620 |       1620 |               numpy._core.records
import time:     16860 |      16860 |               numpy._core._add_newdocs
import time:      2518 |       2518 |               numpy._core._add_newdocs_scalars
import time:       862 |        862 |               numpy._core._dtype_ctypes
import time:      5412 |       5412 |                   sysconfig
import time:      1024 |       1024 |                   _ctypes
import time:      5663 |       5663 |                   ctypes._endian
import time:     19342 |      31440 |                 ctypes
import time:     12215 |      43654 |               numpy._core._internal
import time:       739 |        739 |               numpy._pytesttester
import time:     25781 |     289603 |             numpy._core
import time:       133 |     289736 |           numpy._core._multiarray_umath
import time:      6682 |     296418 |         numpy.__config__
import time:      4360 |       4360 |                           numpy._typing._nbit_base
import time:      1182 |       1182 |                           numpy._typing._nested_sequence
import time:       672 |        672 |                           numpy._typing._shape
import time:     15485 |      21698 |                         numpy._typing._array_like
import time:      7375 |       7375 |                         numpy._typing._char_codes
import time:      6665 |       6665 |                         numpy._typing._dtype_like
import time:       746 |        746 |                         numpy._typing._nbit
import time:       681 |        681 |                         numpy._typing._scalars
import time:       499 |        499 |                         numpy._typing._ufunc
import time:     11245 |      48907 |                       numpy._typing
import time:      1290 |       1290 |                         numpy.lib._stride_tricks_impl
import time:      2506 |       3796 |                       numpy.lib._twodim_base_impl
import time:       565 |        565 |                         numpy.lib._array_utils_impl
import time:      1236 |       1801 |                       numpy.lib.array_utils
import time:      1409 |       1409 |                       numpy.linalg._umath_linalg
import time:     19705 |      75616 |                     numpy.linalg._linalg
import time:       580 |        580 |                     numpy.linalg.linalg
import time:      5639 |      81833 |                   numpy.linalg
import time:      5166 |      86999 |                 numpy.matrixlib.defmatrix
import time:      2309 |      89308 |               numpy.matrixlib
import time:      1513 |       1513 |                 numpy.lib._histograms_impl
import time:      5834 |       7346 |               numpy.lib._function_base_impl
import time:       638 |        638 |               numpy.lib.stride_tricks
import time:      7265 |     104556 |             numpy.lib._index_tricks_impl
import time:      5177 |     109732 |           numpy.lib._arraypad_impl
import time:      4305 |       4305 |           numpy.lib._arraysetops_impl
import time:       921 |        921 |           numpy.lib._arrayterator_impl
import time:      2526 |       2526 |           numpy.lib._nanfunctions_impl
import time:       319 |        319 |                     _wmi
import time:      3221 |       3540 |                   platform
import time:      2865 |       6405 |                 numpy.lib._utils_impl
import time:      1794 |       8198 |               numpy.lib._format_impl
import time:      1380 |       9578 |             numpy.lib.format
import time:      2883 |       2883 |             numpy.lib._datasource
import time:      1572 |       1572 |             numpy.lib._iotools
import time:      5841 |      19873 |           numpy.lib._npyio_impl
import time:       751 |        751 |               numpy.lib._ufunclike_impl
import time:      2145 |       2896 |             numpy.lib._type_check_impl
import time:      3450 |       6345 |           numpy.lib._polynomial_impl
import time:      2953 |       2953 |           numpy.lib._shape_base_impl
import time:       743 |        743 |           numpy.lib._version
import time:       496 |        496 |           numpy.lib.introspect
import time:       789 |        789 |           numpy.lib.mixins
import time:      2172 |       2172 |           numpy.lib.npyio
import time:      1199 |       1199 |             numpy.lib._scimath_impl
import time:      1474 |       2672 |           numpy.lib.scimath
import time:      5702 |     159223 |         numpy.lib
import time:       847 |        847 |         numpy._array_api_info
import time:     29069 |     503148 |       numpy
import time:       818 |        818 |           numpy.core._utils
import time:      1676 |       2494 |         numpy.core
import time:       827 |       3320 |       numpy.core.multiarray
import time:       861 |        861 |       cv2.load_config_py3
import time:       595 |        595 |       cv2.version
import time:      1163 |       1163 |       cv2.misc.version
import time:       593 |        593 |       cv2.mat_wrapper
import time:    207692 |     717368 |     cv2
import time:       945 |        945 |       PIL._version
import time:      1534 |       2478 |     PIL
import time:     16587 |      16587 |       PIL.ExifTags
import time:      2234 |       2234 |       PIL.ImageMode
import time:      3099 |       3099 |       PIL.TiffTags
import time:       844 |        844 |       PIL._binary
import time:       820 |        820 |       PIL._deprecate
import time:       661 |        661 |       PIL._util
import time:       377 |        377 |       defusedxml
import time:      3561 |       3561 |       PIL._imaging
import time:     15219 |      43398 |     PIL.Image
import time:       845 |        845 |       PIL.ImageColor
import time:       951 |        951 |           PIL._typing
import time:      3392 |       3392 |           PIL._imagingft
import time:      3698 |       8040 |         PIL.ImageFont
import time:      2824 |      10863 |       PIL.ImageText
import time:      1845 |      13553 |     PIL.ImageDraw
import time:      6344 |       6344 |     app.core.dto
import time:      1336 |       1336 |     app.core.interfaces
import time:       231 |        231 |       gc
import time:       550 |        550 |       app.core.vision_utils
import time:       579 |        579 |       app.core.ocr_corrector
import time:      6836 |       6836 |         typing_extensions
import time:      7533 |       7533 |         torch._utils
import time:       506 |        506 |             torch._strobelight
import time:       278 |        278 |                   _json
import time:      2485 |       2763 |                 json.scanner
import time:      2584 |       5347 |               json.decoder
import time:      1589 |       1589 |               json.encoder
import time:      2325 |       9260 |             json
import time:       819 |        819 |               _socket
import time:      7308 |       8127 |             socket
import time:       962 |        962 |               timeit
import time:      2686 |       3647 |             torch._strobelight.cli_function_profiler
import time:      5226 |      26764 |           torch._strobelight.compile_time_profiler
import time:      2024 |      28787 |         torch._utils_internal
import time:       477 |        477 |               torch._vendor
import time:      1080 |       1557 |             torch._vendor.packaging
import time:      1008 |       1008 |             torch._vendor.packaging._structures
import time:      7962 |      10526 |           torch._vendor.packaging.version
import time:       759 |        759 |           torch.version
import time:      2632 |      13916 |         torch.torch_version
import time:       173 |        173 |         torch._rocm_init
import time:      1078 |       1078 |           torch._opaque_base
import time:   1452075 |    1453153 |         torch._C
import time:       897 |        897 |           torch._namedtensor_internals
import time:     18586 |      18586 |           torch.overrides
import time:     13691 |      33173 |         torch._tensor
import time:      2045 |       2045 |           torch.types
import time:      5395 |       7440 |         torch.storage
import time:      1699 |       1699 |           torch.amp.autocast_mode
import time:      2110 |       2110 |           torch.amp.grad_scaler
import time:      3592 |       7400 |         torch.amp
import time:      1000 |       1000 |         torch.random
import time:      2791 |       2791 |           difflib
import time:      7118 |       7118 |           tarfile
import time:      1781 |       1781 |           torch._weights_only_unpickler
import time:      2163 |       2163 |           torch._sources
import time:       495 |        495 |           mmap
import time:     13227 |      27573 |         torch.serialization
import time:      4097 |       4097 |         torch._tensor_str
import time:      1343 |       1343 |           torch.cuda._device_limits
import time:      1114 |       1114 |           torch.cuda.gds
import time:       641 |        641 |               cuda
import time:       847 |        847 |                 cuda.bindings.utils._nvvm_utils
import time:      1877 |       1877 |                 cuda.bindings.utils._ptx_utils
import time:       582 |        582 |                 cuda.bindings.utils._version_check
import time:      3763 |       7067 |               cuda.bindings.utils
import time:       660 |        660 |               cuda.bindings._version
import time:     21730 |      30096 |             cuda.bindings
import time:      3761 |       3761 |                     cuda.bindings._bindings
import time:      6684 |      10445 |                   cuda.bindings._bindings.cydriver
import time:      6202 |      16646 |                 cuda.bindings.cydriver
import time:      6691 |       6691 |                   cuda.bindings._internal
import time:      2001 |       8692 |                 cuda.bindings._internal._fast_enum
import time:     93834 |     119170 |               cuda.bindings.driver
import time:      1943 |       1943 |                   cuda.bindings._bindings.cyruntime_ptds
import time:      4423 |       6365 |                 cuda.bindings._bindings.cyruntime
import time:       385 |        385 |                     cuda.pathfinder._binaries
import time:       546 |        546 |                     cuda.pathfinder._binaries.supported_nvidia_binaries
import time:       348 |        348 |                       cuda.pathfinder._utils
import time:       861 |       1208 |                     cuda.pathfinder._utils.env_vars
import time:      1996 |       1996 |                     cuda.pathfinder._utils.find_sub_dirs
import time:       934 |        934 |                     cuda.pathfinder._utils.platform_aware
import time:      3095 |       8161 |                   cuda.pathfinder._binaries.find_nvidia_binary_utility
import time:       315 |        315 |                     cuda.pathfinder._dynamic_libs
import time:      3383 |       3697 |                   cuda.pathfinder._dynamic_libs.load_dl_common
import time:      6691 |       6691 |                       cuda.pathfinder._dynamic_libs.descriptor_catalog
import time:      1661 |       8351 |                     cuda.pathfinder._dynamic_libs.lib_descriptor
import time:       920 |        920 |                           ctypes._layout
import time:      2312 |       3231 |                         ctypes.util
import time:     18611 |      21842 |                       cuda.pathfinder._dynamic_libs.load_dl_linux
import time:      1568 |      23410 |                     cuda.pathfinder._dynamic_libs.platform_loader
